Date,Clicks,Impressions,CTR,Position
2026-02-04,0,0,,
2026-02-05,0,0,,
2026-02-06,1,10,10%,23.7
2026-02-07,1,13,7.69%,16.8
2026-02-08,0,14,0%,43
2026-02-09,0,4,0%,18
2026-02-10,0,4,0%,6.8
2026-02-11,0,2,0%,20
2026-02-12,0,11,0%,14.2
2026-02-13,0,9,0%,47.6
2026-02-14,0,3,0%,66
2026-02-15,0,3,0%,8.7
2026-02-16,0,8,0%,7.2
2026-02-17,0,9,0%,15.8
2026-02-18,1,11,9.09%,35
2026-02-19,0,12,0%,19.8
