Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-02-04,108,1379795,255
2026-02-05,49,490330,351
2026-02-06,23,223972,386
2026-02-07,0,0,0
2026-02-08,0,0,0
2026-02-09,4,37736,133
2026-02-10,2,12768,0
2026-02-11,0,0,0
2026-02-12,2,13626,174
2026-02-13,0,0,0
2026-02-14,5,24788,74
2026-02-15,7,30951,50
2026-02-16,28,289299,418
2026-02-17,42,454810,382
2026-02-18,7,71655,309
2026-02-19,0,0,0
2026-02-20,0,0,0
