Date,Not indexed,Indexed,Impressions
2026-02-04,,,0
2026-02-05,,,0
2026-02-06,,,10
2026-02-07,132,16,13
2026-02-08,132,16,14
2026-02-09,132,16,4
2026-02-10,132,16,4
