path,type,county,city,service,indexable,status,inbound,outbound,depth
"/","home","","","",true,200,328,54,0
"/about","core","","","",true,200,328,37,1
"/contact","core","","","",true,200,328,37,1
"/county/brevard","county","brevard","","",true,200,19,39,1
"/county/brevard/cocoa","city","brevard","cocoa","",true,200,10,47,2
"/county/broward","county","broward","","",true,200,38,39,1
"/county/broward/fort-lauderdale","city","broward","fort-lauderdale","",true,200,328,47,1
"/county/broward/hollywood","city","broward","hollywood","",true,200,328,47,1
"/county/broward/pompano-beach","city","broward","pompano-beach","",true,200,12,47,2
"/county/columbia","county","columbia","","",true,200,19,39,1
"/county/columbia/lake-city","city","columbia","lake-city","",true,200,10,47,2
"/county/duval","county","duval","","",true,200,20,38,1
"/county/duval/jacksonville-beach","city","duval","jacksonville-beach","",true,200,328,46,1
"/county/hillsborough","county","hillsborough","","",true,200,39,40,1
"/county/hillsborough/brandon","city","hillsborough","brandon","",true,200,328,47,1
"/county/hillsborough/plant-city","city","hillsborough","plant-city","",true,200,12,47,2
"/county/hillsborough/tampa","city","hillsborough","tampa","",true,200,328,47,1
"/county/indian-river","county","indian-river","","",true,200,19,39,1
"/county/indian-river/vero-beach","city","indian-river","vero-beach","",true,200,10,39,2
"/county/lee","county","lee","","",true,200,38,39,1
"/county/lee/bonita-springs","city","lee","bonita-springs","",true,200,10,39,2
"/county/lee/cape-coral","city","lee","cape-coral","",true,200,328,38,1
"/county/lee/fort-myers","city","lee","fort-myers","",true,200,328,38,1
"/county/manatee","county","manatee","","",true,200,19,39,1
"/county/manatee/bradenton","city","manatee","bradenton","",true,200,10,47,2
"/county/marion","county","marion","","",true,200,28,40,1
"/county/marion/belleview","city","marion","belleview","",true,200,11,48,2
"/county/marion/ocala","city","marion","ocala","",true,200,11,48,2
"/county/miami-dade","county","miami-dade","","",true,200,45,38,1
"/county/miami-dade/hialeah","city","miami-dade","hialeah","",true,200,328,46,1
"/county/miami-dade/miami","city","miami-dade","miami","",true,200,328,46,1
"/county/miami-dade/miami-beach","city","miami-dade","miami-beach","",true,200,328,46,1
"/county/nassau","county","nassau","","",true,200,19,39,1
"/county/nassau/yulee","city","nassau","yulee","",true,200,10,47,2
"/county/orange","county","orange","","",true,200,38,39,1
"/county/orange/apopka","city","orange","apopka","",true,200,12,47,2
"/county/orange/orlando","city","orange","orlando","",true,200,328,47,1
"/county/orange/winter-park","city","orange","winter-park","",true,200,328,47,1
"/county/palm-beach","county","palm-beach","","",true,200,29,39,1
"/county/palm-beach/boca-raton","city","palm-beach","boca-raton","",true,200,11,47,2
"/county/palm-beach/west-palm-beach","city","palm-beach","west-palm-beach","",true,200,328,47,1
"/county/pasco","county","pasco","","",true,200,38,41,1
"/county/pasco/dade-city","city","pasco","dade-city","",true,200,12,48,2
"/county/pasco/new-port-richey","city","pasco","new-port-richey","",true,200,328,48,1
"/county/pasco/wesley-chapel","city","pasco","wesley-chapel","",true,200,13,48,2
"/county/pinellas","county","pinellas","","",true,200,29,39,1
"/county/pinellas/clearwater","city","pinellas","clearwater","",true,200,12,47,2
"/county/pinellas/st-petersburg","city","pinellas","st-petersburg","",true,200,328,47,1
"/county/polk","county","polk","","",true,200,28,39,1
"/county/polk/lakeland","city","polk","lakeland","",true,200,328,47,1
"/county/polk/winter-haven","city","polk","winter-haven","",true,200,11,47,2
"/jail/broward-county-main-jail","jail","","","",true,200,328,40,1
"/jail/duval-county-pre-trial-detention-facility","jail","","","",true,200,328,40,1
"/jail/falkenburg-road-jail","jail","","","",true,200,328,40,1
"/jail/land-o-lakes-detention-center","jail","","","",true,200,27,41,1
"/jail/lee-county-core-facility","jail","","","",true,200,328,40,1
"/jail/metro-west-detention-center","jail","","","",true,200,328,39,1
"/jail/orange-county-booking-and-release-center","jail","","","",true,200,328,40,1
"/jail/orient-road-jail","jail","","","",true,200,27,40,2
"/jail/palm-beach-county-main-detention-center","jail","","","",true,200,328,40,1
"/jail/pinellas-county-jail","jail","","","",true,200,328,41,1
"/jail/tgk-correctional-center","jail","","","",true,200,328,39,1
"/locations","core","","","",true,200,328,71,1
"/resources","core","","","",true,200,328,37,1
"/services/24-hour-bail-bonds","service","","","24-hour-bail-bonds",true,200,32,86,3
"/services/24-hour-bail-bonds/apopka","service-city","orange","apopka","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/belleview","service-city","marion","belleview","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/boca-raton","service-city","palm-beach","boca-raton","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/bonita-springs","service-city","lee","bonita-springs","24-hour-bail-bonds",true,200,8,48,3
"/services/24-hour-bail-bonds/bradenton","service-city","manatee","bradenton","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/brandon","service-city","hillsborough","brandon","24-hour-bail-bonds",true,200,9,48,2
"/services/24-hour-bail-bonds/cape-coral","service-city","lee","cape-coral","24-hour-bail-bonds",true,200,8,47,3
"/services/24-hour-bail-bonds/clearwater","service-city","pinellas","clearwater","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/cocoa","service-city","brevard","cocoa","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/dade-city","service-city","pasco","dade-city","24-hour-bail-bonds",true,200,9,49,3
"/services/24-hour-bail-bonds/fort-lauderdale","service-city","broward","fort-lauderdale","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/fort-myers","service-city","lee","fort-myers","24-hour-bail-bonds",true,200,8,47,3
"/services/24-hour-bail-bonds/hialeah","service-city","miami-dade","hialeah","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/hollywood","service-city","broward","hollywood","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/jacksonville-beach","service-city","duval","jacksonville-beach","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/lake-city","service-city","columbia","lake-city","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/lakeland","service-city","polk","lakeland","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/miami","service-city","miami-dade","miami","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/miami-beach","service-city","miami-dade","miami-beach","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/new-port-richey","service-city","pasco","new-port-richey","24-hour-bail-bonds",true,200,9,48,2
"/services/24-hour-bail-bonds/ocala","service-city","marion","ocala","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/orlando","service-city","orange","orlando","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/plant-city","service-city","hillsborough","plant-city","24-hour-bail-bonds",true,200,9,49,3
"/services/24-hour-bail-bonds/pompano-beach","service-city","broward","pompano-beach","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/st-petersburg","service-city","pinellas","st-petersburg","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/tampa","service-city","hillsborough","tampa","24-hour-bail-bonds",true,200,9,48,2
"/services/24-hour-bail-bonds/vero-beach","service-city","indian-river","vero-beach","24-hour-bail-bonds",true,200,8,48,3
"/services/24-hour-bail-bonds/wesley-chapel","service-city","pasco","wesley-chapel","24-hour-bail-bonds",true,200,9,49,3
"/services/24-hour-bail-bonds/west-palm-beach","service-city","palm-beach","west-palm-beach","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/winter-haven","service-city","polk","winter-haven","24-hour-bail-bonds",true,200,9,48,3
"/services/24-hour-bail-bonds/winter-park","service-city","orange","winter-park","24-hour-bail-bonds",true,200,9,47,2
"/services/24-hour-bail-bonds/yulee","service-city","nassau","yulee","24-hour-bail-bonds",true,200,9,48,3
"/services/domestic-violence-bail","service","","","domestic-violence-bail",true,200,328,85,1
"/services/domestic-violence-bail/apopka","service-city","orange","apopka","domestic-violence-bail",true,200,9,47,2
"/services/domestic-violence-bail/belleview","service-city","marion","belleview","domestic-violence-bail",true,200,9,47,2
"/services/domestic-violence-bail/boca-raton","service-city","palm-beach","boca-raton","domestic-violence-bail",true,200,9,47,2
"/services/domestic-violence-bail/bonita-springs","service-city","lee","bonita-springs","domestic-violence-bail",true,200,8,47,2
"/services/domestic-violence-bail/bradenton","service-city","manatee","bradenton","domestic-violence-bail",true,200,9,47,2
"/services/domestic-violence-bail/brandon","service-city","hillsborough","brandon","domestic-violence-bail",true,200,9,47,2
"/services/domestic-violence-bail/cape-coral","service-city","lee","cape-coral","domestic-violence-bail",true,200,8,46,2
"/services/domestic-violence-bail/clearwater","service-city","pinellas","clearwater","domestic-violence-bail",true,200,9,47,2
"/services/domestic-violence-bail/cocoa","service-city","brevard","cocoa","domestic-violence-bail",true,200,9,47,2
